system:index,NDVI,NIR_glcm_asm,NIR_glcm_contrast,NIR_glcm_correlation,NIR_glcm_dissimilarity,NIR_glcm_energy,NIR_glcm_homogeneity,NIR_mean,NIR_std,Red_glcm_asm,Red_glcm_contrast,Red_glcm_correlation,Red_glcm_dissimilarity,Red_glcm_energy,Red_glcm_homogeneity,Red_mean,Red_std,cell_id,elevation,grid_id,modis_ndvi,ndbi,nighttime_lights,poi_accessibility,population_left,precipitation,road_accessibility,sentinel2_composite,slope,surface_temp,poi_count_school,poi_count_healthcare,poi_count_market,poi_count_finance,poi_count_transport,poi_count_food,poi_count_water,poi_count_worship,poi_count_public,poi_count_total,barangay_name_clean,poverty_rate,population_right,shape_sqkm,lon,lat,geometry_wkt
8_0,0.7226708,0.0225143298059964,1206.3948412698414,0.5658218922861071,19.958333333333336,3.976156580661525,0.2536456937557231,66.33333333333331,31.141255237671103,0.0222899344923154,36.66170634920635,0.1209768266419591,4.459325396825395,3.971666716352293,0.279924146529603,13.333333333333329,3.1622776601683795,cell_0008,8,grid_8,0.47775,-0.28596267,0.2,4207.206413254919,15.997086,2049.6603266596794,0.0,446.5,3.0418968,-38.05178520999999,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.28856868785579,6.874895880165546,POINT (122.28856868785579 6.874895880165546)
8_1,0.78989655,0.0228489543965734,1168.510912698413,0.5780078056555233,19.318452380952387,3.950956675065518,0.2613602041640321,58.77777777777776,34.5889442123982,0.0206483056185437,36.96428571428571,0.0538196590280598,4.458333333333332,3.996213091712637,0.2608645856945546,15.555555555555552,4.112612338515944,cell_0008,18,grid_8,0.47775,-0.33770016,0.2,4318.705143616712,2.766232,2049.6603266596794,0.0,431.5,0.8838701,-38.33377185999999,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.29081447606609,6.874895880165546,POINT (122.29081447606609 6.874895880165546)
8_2,0.68717533,0.0326258975812547,1014.0843253968256,0.5328170214517898,16.95535714285715,3.735531340406407,0.3360249960425916,41.99999999999999,36.67878587594378,0.0249925201562106,32.37996031746032,0.0969442248014204,3.885912698412697,3.860018850789022,0.3224594548265525,12.999999999999996,5.011098792790969,cell_0008,15,grid_8,0.47775,-0.17293957,0.16,4079.4726553262494,2.034718,2049.6603266596794,0.0,677.5,2.1659644,-42.38412555999997,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.29081447606609,6.872650091955251,POINT (122.29081447606609 6.872650091955251)
15_0,0.5901981,0.0306260235575711,931.5496031746034,0.7157497536597516,17.501984126984127,3.851634513963405,0.2470764954471238,74.22222222222221,22.880257272144167,0.0257857772738725,68.90376984126983,0.3403712669011682,6.010912698412696,3.95127261898064,0.2803794616802908,20.77777777777777,5.452375176171244,cell_0015,8,grid_15,0.7306,-0.10197814,0.15,4326.190750701193,0.280649,2049.6603266596794,0.0,786.0,1.1645974,-21.744411789999987,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.27509395859397,6.8838790330067425,POINT (122.27509395859397 6.8838790330067425)
16_0,0.7635095,0.0160186759889141,782.7529761904765,0.7373620391528881,17.346230158730158,4.196594179854269,0.1519849070661472,68.88888888888889,37.35845715480839,0.0180402021919879,59.63988095238095,0.3506894577294323,6.070436507936507,4.121249889290642,0.1791545454329549,20.0,5.734883511361751,cell_0016,7,grid_16,0.60775,-0.2778682,0.15,3920.27014691254,4.382635,2049.6603266596794,0.0,500.0,1.8338228,-28.339481379999995,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.27958553501458,6.881633244796447,POINT (122.27958553501458 6.881633244796447)
17_0,0.785919,0.0222230095742,985.652777777778,0.721518107165503,16.90873015873016,3.987662629034225,0.2260464718837689,61.77777777777776,39.52995426193429,0.0208097127739985,35.9970238095238,0.117296572736034,4.405753968253968,4.010201780021055,0.2603924099984547,12.777777777777777,4.076430295076477,cell_0017,9,grid_17,0.465,-0.38500193,0.23,4599.093810359323,7.788055,2049.6603266596794,0.0,429.5,3.970851,-46.46865945999997,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.29081447606609,6.8838790330067425,POINT (122.29081447606609 6.8838790330067425)
17_1,0.79219157,0.0189535304862685,1070.3373015873017,0.6845882468591032,18.82142857142858,4.09236875676731,0.1960225706201389,63.111111111111086,39.71689941026908,0.0192192617787856,43.99702380952381,0.0159727297686084,5.02876984126984,4.070559521971312,0.2309148652328037,12.777777777777771,3.4889596595794643,cell_0017,13,grid_17,0.63365,-0.40038985,0.23,4771.580000854285,25.35712,2049.6603266596794,0.0,416.5,1.9844247,-40.03423680999998,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.29081447606609,6.881633244796447,POINT (122.29081447606609 6.881633244796447)
17_2,0.78099173,0.0178276171579743,1209.8740079365082,0.6384630069408912,20.68353174603176,4.122496961140303,0.1738640670665663,61.22222222222221,38.809442659051065,0.0193550799949609,42.93154761904761,-0.0139968596529521,5.006944444444442,4.070519191514829,0.2249076987676049,13.66666666666666,3.80058475033046,cell_0017,9,grid_17,0.63365,-0.35428122,0.21,4741.997700861105,0.70162654,2049.6603266596794,0.0,424.0,1.2000818,-35.833490229999995,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.29081447606609,6.879387456586144,POINT (122.29081447606609 6.879387456586144)
31_0,0.6855746,0.029155643738977,983.3184523809527,0.6978389282881722,17.375992063492067,3.840394492343272,0.2701433317215878,62.88888888888887,37.91055099234526,0.032340482489292,47.89583333333334,0.4141325927405717,4.65972222222222,3.775470522792969,0.338482937254296,14.44444444444444,5.27280467453541,cell_0031,9,grid_31,0.7306,-0.22158235,0.26,4895.896276377511,11.957602,2049.6603266596794,0.0,643.0,0.51922554,-14.954515059999949,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.27509395859397,6.890616397637636,POINT (122.27509395859397 6.890616397637636)
33_0,0.7143215,0.0209494677500629,1085.824404761905,0.7010196581463144,17.389880952380956,4.008711226249314,0.2523463095401468,65.66666666666664,35.91966344806452,0.0232347568657092,38.90773809523809,0.1864648903400616,4.606150793650793,3.9097569328254496,0.2478987108933228,14.44444444444444,5.209203630991574,cell_0033,18,grid_33,0.71855,-0.28413352,0.2,4045.537218144957,15.201908,2049.6603266596794,0.0,570.5,6.5535035,-46.319975589999984,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.28856868785579,6.888370609427341,POINT (122.28856868785579 6.888370609427341)
