system:index,NDVI,NIR_glcm_asm,NIR_glcm_contrast,NIR_glcm_correlation,NIR_glcm_dissimilarity,NIR_glcm_energy,NIR_glcm_homogeneity,NIR_mean,NIR_std,Red_glcm_asm,Red_glcm_contrast,Red_glcm_correlation,Red_glcm_dissimilarity,Red_glcm_energy,Red_glcm_homogeneity,Red_mean,Red_std,cell_id,elevation,grid_id,modis_ndvi,ndbi,nighttime_lights,poi_accessibility,population_left,precipitation,road_accessibility,sentinel2_composite,slope,surface_temp,poi_count_school,poi_count_healthcare,poi_count_market,poi_count_finance,poi_count_transport,poi_count_food,poi_count_water,poi_count_worship,poi_count_public,poi_count_total,barangay_name_clean,poverty_rate,population_right,shape_sqkm,lon,lat,geometry_wkt
8_0,0.7472188,0.021760440287226,1313.8720238095243,0.5674875957201043,20.661706349206355,4.025862531161394,0.2500685731536013,69.33333333333331,32.85659074760429,0.0444558610481229,32.81547619047619,-0.0374644270317347,4.03968253968254,3.647669492501552,0.3248546050336798,11.777777777777777,2.4845199749997686,cell_0008,8,grid_8,0.3184,-0.3060753,0.0,4207.206413254919,15.997086,2277.607257336378,0.0,409.0,3.0418968,-107.87338875999998,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.28856868785579,6.874895880165546,POINT (122.28856868785579 6.874895880165546)
8_1,0.81774235,0.0218116181657848,1268.4702380952383,0.5785758578219963,20.00793650793652,3.9913726826544265,0.2566214395214978,61.2222222222222,35.95916751532301,0.0445739638447972,36.24107142857142,-0.0423980646074051,4.1517857142857135,3.59120996012151,0.3203387459410934,14.44444444444444,4.693047129320639,cell_0008,18,grid_8,0.3184,-0.36553478,0.21,4318.705143616712,2.766232,2277.607257336378,0.0,377.0,0.8838701,-107.73324993999998,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.29081447606609,6.874895880165546,POINT (122.29081447606609 6.874895880165546)
8_2,0.76677173,0.0308031777525825,1104.1160714285716,0.5339415784676487,17.608134920634924,3.775794180570957,0.3275089408383769,43.66666666666666,38.27676986255647,0.0513865268329554,32.25694444444445,-0.0021798680509146,3.6339285714285694,3.45292176504932,0.3892086817939972,12.333333333333329,5.374838498865699,cell_0008,15,grid_8,0.3184,-0.22778474,0.0,4079.4726553262494,2.034718,2277.607257336378,0.0,518.0,2.1659644,-113.67718671999998,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.29081447606609,6.872650091955251,POINT (122.29081447606609 6.872650091955251)
15_0,0.67535174,0.0255003621819098,978.8869047619048,0.7392617318886792,17.65079365079365,3.929955592594372,0.2555303957843896,79.1111111111111,24.3923687722408,0.0235083616780045,47.19146825396825,0.1514339215930621,4.901785714285713,3.928120753271688,0.2677179532116936,15.999999999999996,6.306962642808167,cell_0015,8,grid_15,0.777,-0.15522817,0.25,4326.190750701193,0.280649,2277.607257336378,0.0,623.0,1.1645974,-68.85669045999998,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.27509395859397,6.8838790330067425,POINT (122.27509395859397 6.8838790330067425)
16_0,0.83441323,0.0189161312673217,832.4980158730158,0.7635787460331405,17.146825396825395,4.127593810549031,0.1734650371578844,71.55555555555556,40.02807656608355,0.0207349143361048,38.93948412698413,0.1427681387280759,4.875992063492062,4.018945740580309,0.2007752045185962,14.44444444444444,3.861810488218392,cell_0016,7,grid_16,0.49905,-0.33147535,0.33,3920.27014691254,4.382635,2277.607257336378,0.0,345.0,1.8338228,-88.82476329999997,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.27958553501458,6.881633244796447,POINT (122.27958553501458 6.881633244796447)
17_0,0.8127681,0.0227525037792894,1016.4375,0.7327784730812381,17.01884920634921,3.975313342445761,0.2386079542080108,62.333333333333314,40.16908706400427,0.0296634857646762,34.2093253968254,0.0609007113467853,4.159722222222221,3.784573227021124,0.2755527281709022,11.999999999999998,4.396968652757639,cell_0017,9,grid_17,0.4081,-0.40449658,0.38,4599.093810359323,7.788055,2277.607257336378,0.0,371.0,3.970851,-123.10408588,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.29081447606609,6.8838790330067425,POINT (122.29081447606609 6.8838790330067425)
17_1,0.8274745,0.0188629850088183,1118.2390873015872,0.6930430449926084,19.1279761904762,4.087878892458076,0.1937315922043202,64.11111111111109,40.70065367873769,0.0273270187704711,42.22619047619048,-0.0280814052665359,4.785714285714285,3.816608777228194,0.236798517664102,11.777777777777777,3.937787810370968,cell_0017,13,grid_17,0.5985,-0.42247236,0.38,4771.580000854285,25.35712,2277.607257336378,0.0,346.0,1.9844247,-110.59071465999996,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.29081447606609,6.881633244796447,POINT (122.29081447606609 6.881633244796447)
17_2,0.815577,0.0188118071302595,1285.0496031746034,0.6431173347301947,21.154761904761905,4.089773279863716,0.1869752412083432,63.11111111111109,40.09002215693089,0.0251578640715545,41.4890873015873,-0.0734799392648575,4.79861111111111,3.877625823555089,0.2333254735689064,12.44444444444444,3.861810488218392,cell_0017,9,grid_17,0.5985,-0.39595434,0.21,4741.997700861105,0.70162654,2277.607257336378,0.0,354.0,1.2000818,-102.10377099999997,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.29081447606609,6.879387456586144,POINT (122.29081447606609 6.879387456586144)
31_0,0.76028085,0.0288407029478458,1060.8045634920636,0.7237071038930718,17.59821428571429,3.840237468139493,0.2979546203620975,64.44444444444443,38.97039078614289,0.0261735481229528,28.4593253968254,0.2625103681926759,3.719246031746031,3.814934774674384,0.3220208231040899,11.666666666666664,3.915780041490244,cell_0031,9,grid_31,0.777,-0.2639539,0.3,4895.896276377511,11.957602,2277.607257336378,0.0,478.0,0.51922554,-60.31164045999998,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.27509395859397,6.890616397637636,POINT (122.27509395859397 6.890616397637636)
33_0,0.7542121,0.0239118795666414,1103.498015873016,0.7321281727219917,16.892857142857142,3.9611834755336472,0.2393534730551028,66.88888888888887,36.93069919741402,0.0228607646762408,33.94444444444444,0.0832872357163471,4.2023809523809526,3.899295334412224,0.2666552885358425,13.666666666666664,5.617433182117573,cell_0033,18,grid_33,0.7571,-0.3036273,0.37,4045.537218144957,15.201908,2277.607257336378,0.0,496.0,6.5535035,-123.14852014,0,0,0,0,0,0,0,0,0,0,MANALIPA,0.5965463108320251,637.0,3.6128794539927975,122.28856868785579,6.888370609427341,POINT (122.28856868785579 6.888370609427341)
