system:index,NDVI,NIR_glcm_asm,NIR_glcm_contrast,NIR_glcm_correlation,NIR_glcm_dissimilarity,NIR_glcm_energy,NIR_glcm_homogeneity,NIR_mean,NIR_std,Red_glcm_asm,Red_glcm_contrast,Red_glcm_correlation,Red_glcm_dissimilarity,Red_glcm_energy,Red_glcm_homogeneity,Red_mean,Red_std,cell_id,elevation,grid_id,modis_ndvi,ndbi,nighttime_lights,poi_accessibility,population_left,precipitation,road_accessibility,sentinel2_composite,slope,surface_temp,x_idx,y_idx,poi_count_school,poi_count_healthcare,poi_count_market,poi_count_finance,poi_count_transport,poi_count_food,poi_count_water,poi_count_worship,poi_count_public,poi_count_total,barangay_name_clean,poverty_rate,population_right,shape_sqkm,lon,lat,geometry_wkt
2_8,0.54497606,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0023,19.0,0_23,0.8313,-0.1367717,0.52,3797.010723954313,33.615913,2906.221962362528,1741.8891591734307,951.0,1.1648961,-123.14852014,0,23,0,0,0,0,0,0,0,0,0,0,PATALON,0.3963328631875881,2127.0,16.02042532226294,121.90453890389472,7.0702794544615415,POINT (121.90453890389472 7.0702794544615415)
2_9,0.8113595,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0023,15.0,0_23,0.8313,-0.2963031,0.55,3548.880563594037,6.5573773,2906.221962362528,1953.5659039660688,367.0,1.9818869,-123.14852014,0,23,0,0,0,0,0,0,0,0,0,0,PATALON,0.3963328631875881,2127.0,16.02042532226294,121.90229311568442,7.068033666251246,POINT (121.90229311568442 7.068033666251246)
2_10,0.6194083,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0023,17.0,0_23,0.8313,-0.17439066,0.55,3550.051664704697,20.989115,2906.221962362528,1837.9461014336337,804.0,1.2848499,-123.14852014,0,23,0,0,0,0,0,0,0,0,0,0,PATALON,0.3963328631875881,2127.0,16.02042532226294,121.90453890389472,7.068033666251246,POINT (121.90453890389472 7.068033666251246)
3_0,0.72239053,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0024,15.0,0_24,0.7606,-0.2578439,0.59,4523.075107143047,44.510017,2906.221962362528,1561.5436698022695,504.0,1.5228246,-123.14852014,0,24,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90004732747411,7.083754183723336,POINT (121.90004732747411 7.083754183723336)
3_1,0.59132963,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0024,20.0,0_24,0.7606,-0.14710365,0.83,4681.620710025573,138.34113,2906.221962362528,1761.9247590473728,773.0,1.5576974,-123.14852014,0,24,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90229311568442,7.083754183723336,POINT (121.90229311568442 7.083754183723336)
3_2,0.6984299,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0024,28.0,0_24,0.7606,-0.21872573,0.83,4687.0015290455285,70.350174,2906.221962362528,1809.252944903301,557.0,4.352939,-123.14852014,0,24,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90453890389472,7.083754183723336,POINT (121.90453890389472 7.083754183723336)
3_3,0.6082544,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0024,9.0,0_24,0.75615,-0.24320084,0.26,4372.497652611227,0.34523803,2255.778543397784,1223.005320876209,579.0,1.7518662,-123.14852014,0,24,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.89780153926381,7.0815083955130405,POINT (121.89780153926381 7.0815083955130405)
3_4,0.78688115,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0024,16.0,0_24,0.75615,-0.29249227,0.59,4619.248942937875,23.421825,2906.221962362528,1412.239984476817,424.0,1.5576903,-123.14852014,0,24,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90004732747411,7.0815083955130405,POINT (121.90004732747411 7.0815083955130405)
3_5,0.5134534,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0024,22.0,0_24,0.75615,-0.12106737,0.83,4862.599926150679,22.956089,2906.221962362528,1541.8547708009871,1094.0,1.2901033,-123.14852014,0,24,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90229311568442,7.0815083955130405,POINT (121.90229311568442 7.0815083955130405)
3_6,0.77704453,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0024,27.0,0_24,0.75615,-0.24299374,0.83,4875.57558719874,7.0314326,2906.221962362528,1631.1557303162765,473.0,1.5576903,-123.14852014,0,24,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90453890389472,7.0815083955130405,POINT (121.90453890389472 7.0815083955130405)
3_7,0.5272024,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0024,7.0,0_24,0.75615,-0.2645781,0.28,4341.048719607768,0.61364096,2255.778543397784,1061.9796331596149,856.0,1.4206779,-123.14852014,0,24,0,0,0,0,0,0,0,0,0,0,PATALON,0.3963328631875881,2127.0,16.02042532226294,121.89780153926381,7.079262607302738,POINT (121.89780153926381 7.079262607302738)
3_8,0.7654878,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0024,12.0,0_24,0.75615,-0.25790632,0.72,4569.386755952154,8.8602915,2906.221962362528,1211.569868756973,494.0,1.4441178,-123.14852014,0,24,0,0,0,0,0,0,0,0,0,0,PATALON,0.3963328631875881,2127.0,16.02042532226294,121.90004732747411,7.079262607302738,POINT (121.90004732747411 7.079262607302738)
3_9,0.67841625,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0024,19.0,0_24,0.75615,-0.20904347,0.76,4756.4131101669445,25.773026,2906.221962362528,1302.8223787981449,666.0,1.52281,-123.14852014,0,24,0,0,0,0,0,0,0,0,0,0,PATALON,0.3963328631875881,2127.0,16.02042532226294,121.90229311568442,7.079262607302738,POINT (121.90229311568442 7.079262607302738)
3_10,0.72778636,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0024,25.0,0_24,0.7623000000000001,-0.21575713,0.76,4763.48951232375,8.947174,2906.221962362528,1401.1259629072524,530.0,1.6351329,-123.14852014,0,24,0,0,0,0,0,0,0,0,0,0,PATALON,0.3963328631875881,2127.0,16.02042532226294,121.90453890389472,7.079262607302738,POINT (121.90453890389472 7.079262607302738)
3_11,0.7146497,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0024,13.0,0_24,0.75615,-0.25653473,0.46,4409.384642328965,19.669508,2906.221962362528,1010.1586644074368,560.0,1.635125,-123.14852014,0,24,0,0,0,0,0,0,0,0,0,0,PATALON,0.3963328631875881,2127.0,16.02042532226294,121.90004732747411,7.077016819092442,POINT (121.90004732747411 7.077016819092442)
