fold,sample_mae,sample_r2,grid_mae,grid_r2
1,0.08595778984595408,0.14193022555302737,0.08644065159714193,0.3397938912995113
2,0.0641223773990344,0.2378890098801103,0.06820203169957521,0.21051197566380997
3,0.06656281108147649,0.10975714194215669,0.06821784601545036,0.10989294161383834
4,0.059795496782628695,0.2958815970958236,0.05765507915623376,0.3501475309172909
5,0.060430584034496276,0.14551595990454946,0.062343702184934874,0.12247469149679435
