Barangay,Total Number of Poor Children,Children Attending School,%,Children Not Attending School,%.1
ARENA BLANCO,4227,3305,0.7818784007570381,922,0.2181215992429619
AYALA,2643,1982,0.7499054105183504,661,0.2500945894816496
BALIWASAN,1378,1104,0.8011611030478955,274,0.1988388969521045
BALUNO,871,698,0.801377726750861,173,0.1986222732491389
BARANGAY ZONE I (POB.),153,137,0.8954248366013072,16,0.1045751633986928
BARANGAY ZONE II (POB.),254,215,0.8464566929133859,39,0.1535433070866141
BARANGAY ZONE III (POB.),70,50,0.7142857142857143,20,0.2857142857142857
BARANGAY ZONE IV (POB.),426,338,0.7934272300469484,88,0.2065727699530516
BOALAN,905,629,0.6950276243093922,276,0.3049723756906077
BOLONG,1546,1138,0.7360931435963778,408,0.2639068564036222
BUENAVISTA,1669,1278,0.7657279808268425,391,0.2342720191731575
BUNGUIAO,1546,1164,0.7529107373868047,382,0.2470892626131953
BUSAY (SACOL ISLAND),575,421,0.7321739130434782,154,0.2678260869565217
CABALUAY,876,615,0.702054794520548,261,0.2979452054794521
CABATANGAN,1084,820,0.7564575645756457,264,0.2435424354243542
CACAO,172,115,0.6686046511627907,57,0.3313953488372093
CALABASA,676,538,0.7958579881656804,138,0.2041420118343195
CALARIAN,2571,1811,0.70439517697394,760,0.2956048230260599
CAMINO NUEVO,784,555,0.7079081632653061,229,0.2920918367346938
CAMPO ISLAM,1651,1333,0.807389460932768,318,0.1926105390672319
CANELAR,356,269,0.7556179775280899,87,0.2443820224719101
CAPISAN,280,236,0.8428571428571429,44,0.1571428571428571
CAWIT,1461,1161,0.7946611909650924,300,0.2053388090349076
CULIANAN,741,598,0.8070175438596491,143,0.1929824561403508
CURUAN,2310,1759,0.7614718614718615,551,0.2385281385281385
DITA,560,408,0.7285714285714285,152,0.2714285714285714
DIVISORIA,684,562,0.8216374269005848,122,0.1783625730994152
DULIAN (UPPER BUNGUIAO),448,350,0.78125,98,0.21875
DULIAN (UPPER PASONANCA),194,124,0.6391752577319587,70,0.3608247422680412
GUISAO,406,328,0.8078817733990148,78,0.1921182266009852
GUIWAN,343,272,0.793002915451895,71,0.2069970845481049
KASANYANGAN,7193,4999,0.6949812317530932,2194,0.3050187682469067
LA PAZ,1691,1286,0.7604967474866943,405,0.2395032525133057
LABUAN,3270,2366,0.7235474006116208,904,0.2764525993883792
LAMISAHAN,561,407,0.7254901960784313,154,0.2745098039215686
LANDANG GUA,1158,860,0.7426597582037997,298,0.2573402417962003
LANDANG LAUM,585,467,0.7982905982905983,118,0.2017094017094017
LANZONES,552,414,0.75,138,0.25
LAPAKAN,255,208,0.8156862745098039,47,0.1843137254901961
LATUAN (CURUAN),732,571,0.7800546448087432,161,0.2199453551912568
LICOMO,1629,1279,0.7851442602823818,350,0.2148557397176181
LIMAONG,1189,893,0.7510513036164844,296,0.2489486963835155
LIMPAPA,1608,1224,0.7611940298507462,384,0.2388059701492537
LUBIGAN,739,533,0.7212449255751014,206,0.2787550744248985
LUMAYANG,327,262,0.8012232415902141,65,0.1987767584097859
LUMBANGAN,649,455,0.7010785824345146,194,0.2989214175654853
LUNZURAN,913,730,0.7995618838992333,183,0.2004381161007667
MAASIN,1089,783,0.71900826446281,306,0.2809917355371901
MALAGUTAY,527,416,0.7893738140417458,111,0.2106261859582542
MAMPANG,4196,3228,0.76930409914204,968,0.2306959008579599
MANALIPA,904,598,0.661504424778761,306,0.3384955752212389
MANGUSU,1421,1158,0.8149190710767066,263,0.1850809289232934
MANICAHAN,1911,1465,0.7666143380429095,446,0.2333856619570905
MARIKI,1533,1109,0.7234181343770385,424,0.2765818656229615
MERCEDES,2115,1661,0.7853427895981088,454,0.2146572104018912
MUTI,953,676,0.7093389296956978,277,0.2906610703043022
PAMUCUTAN,985,761,0.7725888324873097,224,0.2274111675126903
PANGAPUYAN,285,205,0.7192982456140351,80,0.2807017543859649
PANUBIGAN,456,351,0.7697368421052632,105,0.2302631578947368
PASILMANTA (SACOL ISLAND),574,414,0.7212543554006968,160,0.2787456445993031
PASOBOLONG,608,499,0.8207236842105263,109,0.1792763157894736
PASONANCA,1730,1144,0.661271676300578,586,0.3387283236994219
PATALON,2160,1639,0.7587962962962963,521,0.2412037037037037
PUTIK,864,683,0.7905092592592593,181,0.2094907407407407
QUINIPUT,591,454,0.7681895093062606,137,0.2318104906937394
RECODO,3703,2870,0.775047258979206,833,0.2249527410207939
RIO HONDO,2352,1727,0.7342687074829932,625,0.2657312925170068
SALAAN,856,641,0.7488317757009346,215,0.2511682242990654
SAN JOSE CAWA-CAWA,162,133,0.8209876543209876,29,0.1790123456790123
SAN JOSE GUSU,1264,1043,0.8251582278481012,221,0.1748417721518987
SAN ROQUE,2732,2082,0.7620790629575402,650,0.2379209370424597
SANGALI,4973,3474,0.6985722903679872,1499,0.3014277096320129
SANTA BARBARA,1121,924,0.8242640499553969,197,0.175735950044603
SANTA CATALINA,1862,1417,0.7610096670247046,445,0.2389903329752953
SANTA MARIA,740,528,0.7135135135135136,212,0.2864864864864865
SANTO NIÃ‘O,230,182,0.7913043478260869,48,0.208695652173913
SIBULAO (CARUAN),1144,909,0.7945804195804196,235,0.2054195804195804
SINUBUNG,690,527,0.763768115942029,163,0.236231884057971
SINUNOC,3606,2555,0.7085413200221853,1051,0.2914586799778147
TAGASILAY,808,605,0.7487623762376238,203,0.2512376237623762
TAGUITI,465,348,0.7483870967741936,117,0.2516129032258064
TALABAAN,1104,803,0.7273550724637681,301,0.2726449275362319
TALISAYAN,623,467,0.7495987158908507,156,0.2504012841091493
TALON-TALON,3850,2977,0.7732467532467533,873,0.2267532467532467
TALUKSANGAY,2306,1617,0.7012142237640937,689,0.2987857762359063
TETUAN,1045,827,0.7913875598086124,218,0.2086124401913875
TICTAPUL,965,676,0.7005181347150259,289,0.2994818652849741
TIGBALABAG,271,212,0.7822878228782287,59,0.2177121771217712
TIGTABON,1949,1478,0.7583376090302719,471,0.241662390969728
TOLOSA,909,747,0.8217821782178217,162,0.1782178217821782
TUGBUNGAN,2830,1902,0.6720848056537102,928,0.3279151943462897
TULUNGATUNG,1325,1041,0.7856603773584906,284,0.2143396226415094
TUMAGA,1745,1256,0.7197707736389685,489,0.2802292263610315
TUMALUTAB,896,589,0.6573660714285714,307,0.3426339285714285
TUMITUS,984,697,0.7083333333333334,287,0.2916666666666667
VICTORIA,407,274,0.6732186732186732,133,0.3267813267813267
VITALI,2323,1781,0.7666810159276797,542,0.2333189840723202
ZAMBOWOOD,1231,950,0.7717303005686433,281,0.2282696994313566
TOTAL,129284,96770,0.748507162525912,32514,0.251492837474088
