Barangay,PSGC Code
Arena Blanco,907332001
Ayala,907332002
Baliwasan,907332004
Baluno,907332005
Boalan,907332010
Bolong,907332011
Buenavista,907332012
Bunguiao,907332013
Busay (Sacol Island),907332014
Cabaluay,907332015
Cabatangan,907332016
Cacao,907332017
Calabasa,907332018
Calarian,907332019
Campo Islam,907332020
Canelar,907332021
Cawit,907332022
Culianan,907332023
Curuan,907332024
Dita,907332025
Divisoria,907332026
Dulian (Upper Bunguiao),907332027
Dulian (Upper Pasonanca),907332028
Guisao,907332030
Guiwan,907332031
La Paz,907332032
Labuan,907332033
Lamisahan,907332034
Landang Gua,907332035
Landang Laum,907332036
Lanzones,907332037
Lapakan,907332038
Latuan (Curuan),907332039
Limaong,907332040
Limpapa,907332041
Lubigan,907332042
Lumayang,907332043
Lumbangan,907332044
Lunzuran,907332045
Maasin,907332046
Malagutay,907332047
Mampang,907332048
Manalipa,907332049
Mangusu,907332050
Manicahan,907332051
Mariki,907332052
Mercedes,907332053
Muti,907332054
Pamucutan,907332055
Pangapuyan,907332056
Panubigan,907332057
Pasilmanta (Sacol Island),907332058
Pasonanca,907332059
Patalon,907332060
Barangay Zone I (Pob.),907332061
Barangay Zone II (Pob.),907332062
Barangay Zone III (Pob.),907332063
Barangay Zone IV (Pob.),907332064
Putik,907332065
Quiniput,907332066
Recodo,907332067
Rio Hondo,907332068
Salaan,907332069
San Jose Cawa-cawa,907332070
San Jose Gusu,907332071
San Roque,907332072
Sangali,907332073
Santa Barbara,907332074
Santa Catalina,907332075
Santa Maria,907332076
Santo Ni̱o,907332077
Sibulao (Caruan),907332078
Sinubung,907332079
Sinunoc,907332080
Tagasilay,907332081
Taguiti,907332082
Talabaan,907332083
Talisayan,907332084
Talon-talon,907332085
Taluksangay,907332086
Tetuan,907332087
Tictapul,907332088
Tigbalabag,907332089
Tigtabon,907332090
Tolosa,907332091
Tugbungan,907332092
Tulungatung,907332093
Tumaga,907332094
Tumalutab,907332095
Tumitus,907332096
Vitali,907332097
Capisan,907332098
Camino Nuevo,907332099
Licomo,907332100
Kasanyangan,907332101
Pasobolong,907332102
Victoria,907332103
Zambowood,907332104
Pasonanca Natural Park under Jurisdiction of Zamboanga City,907332901
Unclaimed Area under Jurisdiction of Zamboanga City,907332902
Watershed Area under Jurisdiction of Zamboanga City,907332904
