iter	Passed	Remaining
399	66617	99926
400	66769	99738
401	66922	99551
402	67069	99356
403	67217	99162
404	67353	98951
405	67513	98776
406	67654	98573
407	67789	98360
408	67937	98168
409	68092	97986
410	68224	97772
411	68363	97567
412	68532	97406
413	68676	97209
414	68814	97003
415	68969	96822
416	69099	96606
417	69236	96400
418	69371	96193
419	69523	96008
420	69662	95806
421	69812	95620
422	69957	95425
423	70090	95217
424	70235	95024
425	70377	94828
426	70509	94617
427	70646	94415
428	70786	94216
429	70928	94022
430	71083	93843
431	71209	93627
432	71345	93425
433	71509	93258
434	71657	93072
435	71810	92892
436	71964	92713
437	72114	92530
438	72259	92341
439	72456	92217
440	72603	92030
441	72808	91916
442	72972	91751
443	73115	91559
444	73260	91369
445	73391	91163
446	73533	90970
447	73671	90773
448	73826	90597
449	73988	90430
450	74140	90251
451	74299	90079
452	74432	89877
453	74585	89699
454	74752	89539
455	74887	89339
456	75041	89163
457	75173	88960
458	75311	88765
459	75445	88566
460	75594	88384
461	75752	88213
462	75895	88025
463	76050	87851
464	76185	87654
465	76315	87451
466	76457	87262
467	76615	87093
468	76773	86922
469	76916	86735
470	77076	86568
471	77208	86369
472	77362	86194
473	77508	86011
474	77647	85821
475	77796	85641
476	77931	85446
477	78099	85288
478	78232	85092
479	78372	84903
480	78524	84728
481	78677	84553
482	78826	84375
483	78958	84179
484	79103	83996
485	79243	83809
486	79383	83622
487	79520	83430
488	79688	83273
489	79875	83135
490	80049	82984
491	80191	82798
492	80324	82605
493	80468	82422
494	80616	82244
495	80751	82053
496	80907	81883
497	81058	81709
498	81195	81521
499	81329	81329
500	81460	81135
501	81609	80959
502	81745	80770
503	81904	80604
504	82052	80427
505	82199	80250
506	82336	80062
507	82457	79860
508	82634	79712
509	82790	79543
510	82937	79366
511	83101	79206
512	83264	79044
513	83387	78844
514	83530	78664
515	83675	78486
516	83810	78299
517	83963	78128
518	84118	77959
519	84253	77772
520	84420	77614
521	84564	77436
522	84712	77262
523	84864	77090
524	85018	76921
525	85174	76753
526	85331	76587
527	85467	76403
528	85624	76236
529	85766	76057
530	85919	75887
531	86061	75708
532	86228	75550
533	86376	75377
534	86512	75193
535	86664	75022
536	86828	74863
537	86986	74698
538	87153	74540
539	87293	74361
540	87425	74174
541	87566	73995
542	87720	73827
543	87859	73647
544	88035	73497
545	88187	73327
546	88367	73182
547	88556	73042
548	88709	72873
549	88853	72698
550	88992	72518
551	89136	72342
552	89292	72177
553	89437	72002
554	89566	71814
555	89713	71641
556	89856	71465
557	90034	71317
558	90221	71176
559	90387	71018
560	90579	70881
561	90797	70763
562	91009	70641
563	91226	70522
564	91409	70377
565	91596	70234
566	91785	70093
567	91935	69923
568	92089	69754
569	92244	69587
570	92411	69429
571	92568	69264
572	92716	69092
573	92865	68921
574	93017	68752
575	93147	68566
576	93293	68393
577	93452	68230
578	93597	68056
579	93749	67887
580	93899	67717
581	94045	67544
582	94196	67375
583	94342	67202
584	94465	67014
585	94600	66834
586	94756	66668
587	94893	66490
588	95068	66337
589	95240	66183
590	95521	66105
591	95948	66126
592	96216	66037
593	96365	65866
594	96515	65695
595	96663	65523
596	96822	65359
597	96974	65190
598	97144	65033
599	97308	64872
600	97465	64706
601	97627	64544
602	97794	64385
603	97936	64209
604	98083	64037
605	98245	63875
606	98389	63702
607	98539	63532
608	98685	63359
609	98956	63267
610	99255	63191
611	99448	63049
612	99675	62927
613	99981	62855
614	100276	62774
615	100548	62679
616	100759	62545
617	100967	62410
618	101113	62236
619	101234	62046
620	101380	61872
621	101518	61694
622	101679	61529
623	101824	61355
624	102021	61212
625	102201	61059
626	102392	60912
627	102552	60747
628	102718	60585
629	103001	60492
630	103277	60395
631	103555	60298
632	103763	60159
633	103988	60031
634	104281	59941
635	104518	59818
636	104685	59656
637	104855	59494
638	105028	59335
639	105289	59225
640	105494	59083
641	105649	58913
642	105812	58748
643	105962	58575
644	106112	58402
645	106277	58239
646	106404	58053
647	106515	57860
648	106652	57680
649	106790	57502
650	106931	57325
651	107090	57158
652	107236	56984
653	107408	56824
654	107561	56654
655	107727	56491
656	107878	56319
657	108076	56173
658	108241	56009
659	108408	55846
660	108560	55676
661	108714	55506
662	108871	55338
663	109026	55170
664	109178	54999
665	109330	54829
666	109481	54658
667	109629	54486
668	109773	54312
669	109945	54152
670	110106	53986
671	110250	53812
672	110425	53653
673	110557	53474
674	110694	53297
675	110855	53132
676	111005	52961
677	111148	52787
678	111303	52619
679	111451	52447
680	111587	52270
681	111723	52094
682	111866	51920
683	112024	51754
684	112160	51577
685	112316	51410
686	112456	51235
687	112586	51056
688	112724	50881
689	112897	50722
