iter	RMSE
0	0.08818347746
1	0.08586521396
2	0.08370837701
3	0.08160748475
4	0.07962588066
5	0.07775270249
6	0.07602289714
7	0.07436954252
8	0.0728851664
9	0.07133468076
10	0.06991978485
11	0.06864497732
12	0.06739200667
13	0.06617972214
14	0.06497478219
15	0.06404153242
16	0.06306183789
17	0.06208623085
18	0.06127979725
19	0.06047712671
20	0.05972009961
21	0.05897537565
22	0.05815951346
23	0.05742908034
24	0.05672335348
25	0.05606540932
26	0.05548412168
27	0.05492475359
28	0.05435963457
29	0.05390640822
30	0.05347885989
31	0.05289883221
32	0.05241306922
33	0.0519666278
34	0.05154667835
35	0.05115579625
36	0.05080896416
37	0.05046108236
38	0.05008443226
39	0.04958873456
40	0.04917540599
41	0.04880067564
42	0.04838194837
43	0.04805286629
44	0.04776730019
45	0.04748565829
46	0.04719811222
47	0.04688127065
48	0.04665136238
49	0.04635874515
50	0.04605166598
51	0.04575070027
52	0.0454599404
53	0.04517362844
54	0.04496571397
55	0.04459018376
56	0.04432332197
57	0.04405295947
58	0.04385340194
59	0.04362212295
60	0.04340049396
61	0.04319211885
62	0.04296541629
63	0.042731675
64	0.04251090783
65	0.04238517199
66	0.04223972318
67	0.04207495157
68	0.04186553317
69	0.04168970136
70	0.04152241151
71	0.04131927051
72	0.04111540796
73	0.04092088734
74	0.04077706924
75	0.0405833785
76	0.04043233352
77	0.04029954012
78	0.04016659277
79	0.04003211156
80	0.03990999982
81	0.0397856388
82	0.0396958122
83	0.03959322088
84	0.03949438379
85	0.03940933912
86	0.03924627119
87	0.03908688049
88	0.03893795227
89	0.03882292841
90	0.03869683627
91	0.03860896274
92	0.03848425555
93	0.0383899606
94	0.03827453442
95	0.03815301878
96	0.03801062497
97	0.03786949625
98	0.03775262645
99	0.03766245208
100	0.03751857198
101	0.0374393291
102	0.0373548449
103	0.03725532511
104	0.03716731997
105	0.03707367573
106	0.03697067806
107	0.0368247077
108	0.0367227776
109	0.03666048941
110	0.03659798277
111	0.03652787535
112	0.03644634143
113	0.03637729949
114	0.03629767663
115	0.03620910439
116	0.03612937328
117	0.03604236581
118	0.03592873352
119	0.03579536642
120	0.03568810027
121	0.03557216576
122	0.03550052756
123	0.03543839641
124	0.03534717791
125	0.03525621534
126	0.03518140321
127	0.03508845022
128	0.03498194954
129	0.03492764807
130	0.03483943264
131	0.03475160459
132	0.03467368732
133	0.03458867542
134	0.03450167365
135	0.03445614012
136	0.03439709471
137	0.0343181661
138	0.034276658
139	0.03422961419
140	0.03418005764
141	0.03411555792
142	0.03405759702
143	0.0339569839
144	0.03390701565
