system:index,NDVI,NIR_glcm_asm,NIR_glcm_contrast,NIR_glcm_correlation,NIR_glcm_dissimilarity,NIR_glcm_energy,NIR_glcm_homogeneity,NIR_mean,NIR_std,Red_glcm_asm,Red_glcm_contrast,Red_glcm_correlation,Red_glcm_dissimilarity,Red_glcm_energy,Red_glcm_homogeneity,Red_mean,Red_std,elevation,grid_id,modis_ndvi,ndbi,nighttime_lights,poi_accessibility,population_left,precipitation,road_accessibility,sentinel2_composite,slope,surface_temp,x_idx,y_idx,poi_count_school,poi_count_healthcare,poi_count_market,poi_count_finance,poi_count_transport,poi_count_food,poi_count_water,poi_count_worship,poi_count_public,poi_count_total,barangay_name_clean,poverty_rate,population_right,shape_sqkm,lon,lat,geometry_wkt,grid_cell_id,has_target_data,exclusion_reason
845_1,0.12906137,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,252,19_14,0.8048000000000001,-0.12233259,0.435,3335.1220367863643,0.237016,1904.0162175446749,1494.0658553041662,3377.5,8.995874,27.98607020000003,19,14,0,0,0,0,0,0,0,0,0,0,PASONANCA NATURAL PARK UNDER JURISDICTION OF ZAMBOANGA CITY,,,141.3155496426694,122.07521880787738,6.984939502470191,POINT (122.07521880787738 6.984939502470191),19_14,False,no_poverty_rate
858_0,0.11827142,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,3,32_14,0.4625,-0.05394784,0.36,3796.514697620586,4.160912,1772.5415197312832,496.3015227924993,1163.0,0.0,35.81333600000005,32,14,0,0,0,0,0,0,0,0,0,0,,,,,122.18975400660264,6.991676867101084,POINT (122.18975400660264 6.991676867101084),32_14,False,no_barangay_or_poverty
863_5,0.069767445,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,0,37_14,0.6308,-0.23952095,0.28,1245.6476150788003,25.134636,1959.574444904924,0.0,360.0,0.62833863,33.33868952,37,14,0,0,0,0,0,0,0,0,0,0,,,,,122.24140713543947,6.984939502470191,POINT (122.24140713543949 6.984939502470191),37_14,False,no_barangay_or_poverty
964_1,0.053729534,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,444,20_16,0.7431,-0.13061206,0.245,3308.8288205686968,0.16065,1924.614009782672,590.1451600122948,5851.5,4.6123686,27.5929979,20,16,0,0,0,0,0,0,0,0,0,0,PASONANCA NATURAL PARK UNDER JURISDICTION OF ZAMBOANGA CITY,,,141.3155496426694,122.08195617250828,7.007397384573174,POINT (122.08195617250828 7.007397384573174),20_16,False,no_poverty_rate
1024_3,0.43694603,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,385,21_17,0.8103,-0.23038773,0.265,3354.40881269516,4.644156,1924.614009782672,1464.0994878014044,1604.0,8.328568,30.82644482000001,21,17,0,0,0,0,0,0,0,0,0,0,PASONANCA NATURAL PARK UNDER JURISDICTION OF ZAMBOANGA CITY,,,141.3155496426694,122.0909393253495,7.014134749204075,POINT (122.0909393253495 7.014134749204075),21_17,False,no_poverty_rate
1036_6,0.35520506,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,7,33_17,0.4848,-0.07993967,1.685,3841.025725734061,50.92354,1900.898650959134,1781.4981737364155,1022.0,1.0959325,36.73620140000003,33,17,0,0,0,0,0,0,0,0,0,0,,,,,122.20098294765415,7.016380537414371,POINT (122.20098294765415 7.016380537414371),33_17,False,no_barangay_or_poverty
1064_4,0.4380603,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,10,2_18,0.7806000000000001,-0.23716038,0.65999997,4195.968255294633,1.6660655,2207.122414536774,1313.7200761532574,689.5,2.0729527,23.18717012000002,2,18,0,0,0,0,0,0,0,0,0,0,,,,,121.91576784494616,7.025363690255567,POINT (121.91576784494617 7.025363690255567),2_18,False,no_barangay_or_poverty
1064_11,0.5300087,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,14,2_18,0.7043,-0.14468546,0.435,4511.565874914701,6.29827,2207.122414536774,1326.7446152429384,810.5,2.2926636,26.793181220000008,2,18,0,0,0,0,0,0,0,0,0,0,,,,,121.91801363315648,7.020872113834969,POINT (121.91801363315648 7.020872113834969),2_18,False,no_barangay_or_poverty
1187_0,0.19344583,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,624,7_20,0.8435,-0.13015285,0.235,3179.165965267488,0.026745,2398.2571824267507,330.50688400783133,3298.0,17.42078,26.174519600000053,7,20,0,0,0,0,0,0,0,0,0,0,WATERSHED AREA UNDER JURISDICTION OF ZAMBOANGA CITY,,,79.62279406032255,121.96742097378308,7.04332999593796,POINT (121.96742097378308 7.04332999593796),7_20,False,no_poverty_rate
1253_0,0.0516196,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,859,14_21,0.8092,-0.22851126,0.205,0.0,1.198634,2091.537840276957,0.0,4340.5,8.47258,17.92683734000002,14,21,0,0,0,0,0,0,0,0,0,0,PASONANCA NATURAL PARK UNDER JURISDICTION OF ZAMBOANGA CITY,,,141.3155496426694,122.02805725546114,7.047821572358558,POINT (122.02805725546114 7.047821572358558),14_21,False,no_poverty_rate
