fold,sample_mae,sample_r2,grid_mae,grid_r2
1,0.0780969069922079,0.2629165793546995,0.08124114693644846,0.40265171924188425
2,0.061214860890812905,0.24415965611412327,0.0654487952396695,0.22572974102582266
3,0.050252475460431725,0.4597184936187737,0.05241473263589338,0.4502147275161362
4,0.052530521411265865,0.4416878540941904,0.051198589156400576,0.46888925273200366
5,0.057873226739445255,0.2586756443669168,0.06100483195890361,0.20925204243942486
