Barangay,Total Number of Poor Children,Children Attending School,%,Children Not Attending School,%.1,_orig_Barangay
LA PAZ,1691,1286,0.7604967474866943,405,0.2395032525133057,LA PAZ
LABUAN,3270,2366,0.7235474006116208,904,0.2764525993883792,LABUAN
LAMISAHAN,561,407,0.7254901960784313,154,0.2745098039215686,LAMISAHAN
LANDANG GUA,1158,860,0.7426597582037997,298,0.2573402417962003,LANDANG GUA
LANDANG LAUM,585,467,0.7982905982905983,118,0.2017094017094017,LANDANG LAUM
LANZONES,552,414,0.75,138,0.25,LANZONES
LAPAKAN,255,208,0.8156862745098039,47,0.1843137254901961,LAPAKAN
LATUAN CURUAN,732,571,0.7800546448087432,161,0.2199453551912568,LATUAN (CURUAN)
LICOMO,1629,1279,0.7851442602823818,350,0.2148557397176181,LICOMO
LIMAONG,1189,893,0.7510513036164844,296,0.2489486963835155,LIMAONG
LIMPAPA,1608,1224,0.7611940298507462,384,0.2388059701492537,LIMPAPA
LUBIGAN,739,533,0.7212449255751014,206,0.2787550744248985,LUBIGAN
LUMAYANG,327,262,0.8012232415902141,65,0.1987767584097859,LUMAYANG
LUMBANGAN,649,455,0.7010785824345146,194,0.2989214175654853,LUMBANGAN
LUNZURAN,913,730,0.7995618838992333,183,0.2004381161007667,LUNZURAN
MAASIN,1089,783,0.71900826446281,306,0.2809917355371901,MAASIN
MALAGUTAY,527,416,0.7893738140417458,111,0.2106261859582542,MALAGUTAY
MAMPANG,4196,3228,0.76930409914204,968,0.2306959008579599,MAMPANG
MANALIPA,904,598,0.661504424778761,306,0.3384955752212389,MANALIPA
MANGUSU,1421,1158,0.8149190710767066,263,0.1850809289232934,MANGUSU
MANICAHAN,1911,1465,0.7666143380429095,446,0.2333856619570905,MANICAHAN
MARIKI,1533,1109,0.7234181343770385,424,0.2765818656229615,MARIKI
MERCEDES,2115,1661,0.7853427895981088,454,0.2146572104018912,MERCEDES
MUTI,953,676,0.7093389296956978,277,0.2906610703043022,MUTI
PAMUCUTAN,985,761,0.7725888324873097,224,0.2274111675126903,PAMUCUTAN
PANGAPUYAN,285,205,0.7192982456140351,80,0.2807017543859649,PANGAPUYAN
PANUBIGAN,456,351,0.7697368421052632,105,0.2302631578947368,PANUBIGAN
PASILMANTA SACOL ISLAND,574,414,0.7212543554006968,160,0.2787456445993031,PASILMANTA (SACOL ISLAND)
PASOBOLONG,608,499,0.8207236842105263,109,0.1792763157894736,PASOBOLONG
PASONANCA,1730,1144,0.661271676300578,586,0.3387283236994219,PASONANCA
PATALON,2160,1639,0.7587962962962963,521,0.2412037037037037,PATALON
PUTIK,864,683,0.7905092592592593,181,0.2094907407407407,PUTIK
QUINIPUT,591,454,0.7681895093062606,137,0.2318104906937394,QUINIPUT
RECODO,3703,2870,0.775047258979206,833,0.2249527410207939,RECODO
RIO HONDO,2352,1727,0.7342687074829932,625,0.2657312925170068,RIO HONDO
SALAAN,856,641,0.7488317757009346,215,0.2511682242990654,SALAAN
SAN JOSE CAWACAWA,162,133,0.8209876543209876,29,0.1790123456790123,SAN JOSE CAWA-CAWA
SAN JOSE GUSU,1264,1043,0.8251582278481012,221,0.1748417721518987,SAN JOSE GUSU
SAN ROQUE,2732,2082,0.7620790629575402,650,0.2379209370424597,SAN ROQUE
SANGALI,4973,3474,0.6985722903679872,1499,0.3014277096320129,SANGALI
SANTA BARBARA,1121,924,0.8242640499553969,197,0.175735950044603,SANTA BARBARA
SANTA CATALINA,1862,1417,0.7610096670247046,445,0.2389903329752953,SANTA CATALINA
SANTA MARIA,740,528,0.7135135135135136,212,0.2864864864864865,SANTA MARIA
SANTO NINO,230,182,0.7913043478260869,48,0.208695652173913,SANTO NIÃ‘O
SIBULAO CARUAN,1144,909,0.7945804195804196,235,0.2054195804195804,SIBULAO (CARUAN)
SINUBUNG,690,527,0.763768115942029,163,0.236231884057971,SINUBUNG
SINUNOC,3606,2555,0.7085413200221853,1051,0.2914586799778147,SINUNOC
TAGASILAY,808,605,0.7487623762376238,203,0.2512376237623762,TAGASILAY
TAGUITI,465,348,0.7483870967741936,117,0.2516129032258064,TAGUITI
TALABAAN,1104,803,0.7273550724637681,301,0.2726449275362319,TALABAAN
TALISAYAN,623,467,0.7495987158908507,156,0.2504012841091493,TALISAYAN
TALONTALON,3850,2977,0.7732467532467533,873,0.2267532467532467,TALON-TALON
TALUKSANGAY,2306,1617,0.7012142237640937,689,0.2987857762359063,TALUKSANGAY
TETUAN,1045,827,0.7913875598086124,218,0.2086124401913875,TETUAN
TICTAPUL,965,676,0.7005181347150259,289,0.2994818652849741,TICTAPUL
TIGBALABAG,271,212,0.7822878228782287,59,0.2177121771217712,TIGBALABAG
TIGTABON,1949,1478,0.7583376090302719,471,0.241662390969728,TIGTABON
TOLOSA,909,747,0.8217821782178217,162,0.1782178217821782,TOLOSA
TUGBUNGAN,2830,1902,0.6720848056537102,928,0.3279151943462897,TUGBUNGAN
TULUNGATUNG,1325,1041,0.7856603773584906,284,0.2143396226415094,TULUNGATUNG
TUMAGA,1745,1256,0.7197707736389685,489,0.2802292263610315,TUMAGA
TUMALUTAB,896,589,0.6573660714285714,307,0.3426339285714285,TUMALUTAB
TUMITUS,984,697,0.7083333333333334,287,0.2916666666666667,TUMITUS
VICTORIA,407,274,0.6732186732186732,133,0.3267813267813267,VICTORIA
VITALI,2323,1781,0.7666810159276797,542,0.2333189840723202,VITALI
ZAMBOWOOD,1231,950,0.7717303005686433,281,0.2282696994313566,ZAMBOWOOD
TOTAL,129284,96770,0.748507162525912,32514,0.251492837474088,TOTAL
