Barangay,PSGC Code,_orig_Barangay
ARENA BLANCO,907332001,Arena Blanco
AYALA,907332002,Ayala
BALIWASAN,907332004,Baliwasan
BALUNO,907332005,Baluno
BOALAN,907332010,Boalan
BOLONG,907332011,Bolong
BUENAVISTA,907332012,Buenavista
BUNGUIAO,907332013,Bunguiao
BUSAY SACOL ISLAND,907332014,Busay (Sacol Island)
CABALUAY,907332015,Cabaluay
CABATANGAN,907332016,Cabatangan
CACAO,907332017,Cacao
CALABASA,907332018,Calabasa
CALARIAN,907332019,Calarian
CAMPO ISLAM,907332020,Campo Islam
CANELAR,907332021,Canelar
CAWIT,907332022,Cawit
CULIANAN,907332023,Culianan
CURUAN,907332024,Curuan
DITA,907332025,Dita
DIVISORIA,907332026,Divisoria
DULIAN UPPER BUNGUIAO,907332027,Dulian (Upper Bunguiao)
DULIAN UPPER PASONANCA,907332028,Dulian (Upper Pasonanca)
GUISAO,907332030,Guisao
GUIWAN,907332031,Guiwan
LA PAZ,907332032,La Paz
LABUAN,907332033,Labuan
LAMISAHAN,907332034,Lamisahan
LANDANG GUA,907332035,Landang Gua
LANDANG LAUM,907332036,Landang Laum
LANZONES,907332037,Lanzones
LAPAKAN,907332038,Lapakan
LATUAN CURUAN,907332039,Latuan (Curuan)
LIMAONG,907332040,Limaong
LIMPAPA,907332041,Limpapa
LUBIGAN,907332042,Lubigan
LUMAYANG,907332043,Lumayang
LUMBANGAN,907332044,Lumbangan
LUNZURAN,907332045,Lunzuran
MAASIN,907332046,Maasin
MALAGUTAY,907332047,Malagutay
MAMPANG,907332048,Mampang
MANALIPA,907332049,Manalipa
MANGUSU,907332050,Mangusu
MANICAHAN,907332051,Manicahan
MARIKI,907332052,Mariki
MERCEDES,907332053,Mercedes
MUTI,907332054,Muti
PAMUCUTAN,907332055,Pamucutan
PANGAPUYAN,907332056,Pangapuyan
PANUBIGAN,907332057,Panubigan
PASILMANTA SACOL ISLAND,907332058,Pasilmanta (Sacol Island)
PASONANCA,907332059,Pasonanca
PATALON,907332060,Patalon
BARANGAY ZONE I POB,907332061,Barangay Zone I (Pob.)
BARANGAY ZONE II POB,907332062,Barangay Zone II (Pob.)
BARANGAY ZONE III POB,907332063,Barangay Zone III (Pob.)
BARANGAY ZONE IV POB,907332064,Barangay Zone IV (Pob.)
PUTIK,907332065,Putik
QUINIPUT,907332066,Quiniput
RECODO,907332067,Recodo
RIO HONDO,907332068,Rio Hondo
SALAAN,907332069,Salaan
SAN JOSE CAWACAWA,907332070,San Jose Cawa-cawa
SAN JOSE GUSU,907332071,San Jose Gusu
SAN ROQUE,907332072,San Roque
SANGALI,907332073,Sangali
SANTA BARBARA,907332074,Santa Barbara
SANTA CATALINA,907332075,Santa Catalina
SANTA MARIA,907332076,Santa Maria
SANTO NINO,907332077,Santo Ni̱o
SIBULAO CARUAN,907332078,Sibulao (Caruan)
SINUBUNG,907332079,Sinubung
SINUNOC,907332080,Sinunoc
TAGASILAY,907332081,Tagasilay
TAGUITI,907332082,Taguiti
TALABAAN,907332083,Talabaan
TALISAYAN,907332084,Talisayan
TALONTALON,907332085,Talon-talon
TALUKSANGAY,907332086,Taluksangay
TETUAN,907332087,Tetuan
TICTAPUL,907332088,Tictapul
TIGBALABAG,907332089,Tigbalabag
TIGTABON,907332090,Tigtabon
TOLOSA,907332091,Tolosa
TUGBUNGAN,907332092,Tugbungan
TULUNGATUNG,907332093,Tulungatung
TUMAGA,907332094,Tumaga
TUMALUTAB,907332095,Tumalutab
TUMITUS,907332096,Tumitus
VITALI,907332097,Vitali
CAPISAN,907332098,Capisan
CAMINO NUEVO,907332099,Camino Nuevo
LICOMO,907332100,Licomo
KASANYANGAN,907332101,Kasanyangan
PASOBOLONG,907332102,Pasobolong
VICTORIA,907332103,Victoria
ZAMBOWOOD,907332104,Zambowood
PASONANCA NATURAL PARK UNDER JURISDICTION OF ZAMBOANGA CITY,907332901,Pasonanca Natural Park under Jurisdiction of Zamboanga City
UNCLAIMED AREA UNDER JURISDICTION OF ZAMBOANGA CITY,907332902,Unclaimed Area under Jurisdiction of Zamboanga City
WATERSHED AREA UNDER JURISDICTION OF ZAMBOANGA CITY,907332904,Watershed Area under Jurisdiction of Zamboanga City
